3
Name C8 true
Age I true
Relation C10 true
4
NameAgeNull false 1A 2A 
NameAgeNullD1 false 1D 2A 
NameAgeNullD2 false 1A 2D 
NameAgeNullDESC false 1D 2D 
10
  1 John             31 brother
  2 Jane              5 sister 
  3 Jenny            35 daughter 
  4 Joe              35 father   
  5 Joan             35 mother    
  6 Jake             35 son 
  7 -                42 son
  8 -                45 brother
  9 Ram               - son
 10 Ram              55 brother
STATS TABCARD 10
STATS COLCARD 0 7 Ram      Jake    
STATS COLCARD 1 1 0000 0000
STATS COLCARD 2 9    55 brot     5 sist
